Designação;Evento;Data Recebimento;Data Execução;Banda;Número OS;Ocorrência;Observação
MABL000050;agendado;05/04/2016;07/06/2016;0;;;"07/06/2016 - Cliente ativado.
23/05/2016 - Telebras tentando entrar em contato com o cliente para continuar sua ativação
20/05/2016 - Fusões e jumpers realizados / prosseguir com a ativação.
18/04/2016 - Adiada a ativação para realização de jumper e fusões.
18/04/2016 - Agendado ativação do circuito para dia 25/04

12/04/2016 - Em contato com o cliente fomos informados que a infra do cliente não está finalizada. Cliente pediu retorno em 20/04, para poder agendar uma data de ativação do circuito

05/04/2016 - Em configuração."
MABL000050;ativado;07/06/2016;07/06/2016;100;0152/2016/DC/4600;15354;07/06/2016 - Cliente ativado.
PABL000028;pend. cliente;01/03/2016;00/00/0000;0;;;"20/09/2016 - Aguardando projeto de abordagem cliente desde 01/03.
12/09/2016 - Aguardando projeto de abordagem cliente desde 01/03.
06/09/2016 - Aguardando projeto de abordagem cliente desde 01/03.
30/08/2016 - Aguardando projeto de abordagem cliente desde 01/03.
23/08/2016 - Aguardando projeto de abordagem cliente desde 01/03.
16/08/2016 - Aguardando projeto de abordagem cliente desde 01/03.
02/08/2016 - Aguardando projeto de abordagem cliente desde 01/03.
19/07/2016 - Aguardando projeto de abordagem cliente desde 01/03.
21/06/2016 - Aguardando projeto de abordagem cliente desde 01/03.
07/06/2016 - Aguardando projeto de abordagem cliente desde 01/03.
31/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
24/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
11/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
03/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
26/04/2016 - Aguardando projeto de abordagem cliente desde 01/03.
19/04/2016 - Aguardando projeto de abordagem cliente.
12/04/2016 - Aguardando projeto de abordagem cliente.
05/04/2016 - Aguardando projeto de abordagem cliente.
29/03/2016 - Aguardando projeto de abordagem cliente.
21/03/2016 - Aguardando projeto de abordagem cliente.
15/03/2016 - Aguardando projeto de abordagem cliente.
07/03/2016 - Aguardando projeto de abordagem cliente.
01/03/2016 - Aguardando projeto de abordagem em FO cliente."
PABL000028;pend. implantação;29/02/2016;01/03/2016;0;0154/2016/DC/4600;15362;29/02/2016 - Enviados OS e VTA para Engenharia
TOBL000036;pend. implantação;18/12/2014;18/12/2014;0;;;Enviado OS e VT para implantação
TOBL000036;pend. cliente;18/12/2014;26/05/2015;0;;;"22/04 (14/04) (10/03) - Aguardando cliente enviar documentação de licenciamento do rádio junto a Anatel e certificado de NR-35
25/02 - Proj. Cliente e Topologia salvos no databook. 
18/02 - Aguardando PROA
"
TOBL000036;cancelado;26/05/2015;26/05/2015;0;01704/2014/DC/4600;5409;26/05 - Recebido OS de cancelamento. Solicitado desconfiguração do circuito, liberação dos filtros BGP e retirada do rádio do cliente do PoP de Araguaína
AMBL000003;pend. implantação;27/03/2015;04/05/2015;0;;;"22/04/2015 - Engenharia está migrando o Arco via PRODAM. Prev. até 30/04. Depois cliente será liberado para ativar
14/04/2015 - Em elaboração novo projeto. Migração para Arena com FO.
27/03/2015 - Em elaboração de projeto do cliente"
AMBL000003;pend. implantação;07/08/2014;07/08/2014;0;OS - 01238/2014/DC/4600;6649;07/08/2014 - Encaminhada OS e VTA para Engenharia.
AMBL000003;bloqueado;10/08/2015;10/08/2015;0;01819/2015/DC/4600;10369;10/08/2015 - Cliente bloqueado.
